term_vi,term_en,kind,lasa_group
Augmentin,Augmentin,drug,
amoxicillin,amoxicillin,drug,
penicillin,penicillin,drug,
azithromycin,azithromycin,drug,
cefuroxim,cefuroxime,drug,
cefixim,cefixime,drug,
cephalexin,cephalexin,drug,
ciprofloxacin,ciprofloxacin,drug,
levofloxacin,levofloxacin,drug,
metronidazole,metronidazole,drug,
doxycycline,doxycycline,drug,
clarithromycin,clarithromycin,drug,
clindamycin,clindamycin,drug,
vancomycin,vancomycin,drug,
gentamicin,gentamicin,drug,
paracetamol,paracetamol,drug,
acetaminophen,acetaminophen,drug,
ibuprofen,ibuprofen,drug,
diclofenac,diclofenac,drug,
naproxen,naproxen,drug,
aspirin,aspirin,drug,
tramadol,tramadol,drug,
morphin,morphine,drug,
codein,codeine,drug,
omeprazole,omeprazole,drug,Losec
Losec,Losec,drug,Losec
Lasix,Lasix,drug,Lasix
furosemide,furosemide,drug,Lasix
metformin,metformin,drug,
glibenclamide,glibenclamide,drug,
gliclazide,gliclazide,drug,
insulin,insulin,drug,
atorvastatin,atorvastatin,drug,
simvastatin,simvastatin,drug,
rosuvastatin,rosuvastatin,drug,
amlodipine,amlodipine,drug,
nifedipine,nifedipine,drug,
losartan,losartan,drug,
valsartan,valsartan,drug,
enalapril,enalapril,drug,
captopril,captopril,drug,
bisoprolol,bisoprolol,drug,
metoprolol,metoprolol,drug,
atenolol,atenolol,drug,
hydrochlorothiazide,hydrochlorothiazide,drug,
spironolactone,spironolactone,drug,
warfarin,warfarin,drug,
heparin,heparin,drug,
clopidogrel,clopidogrel,drug,
apixaban,apixaban,drug,
rivaroxaban,rivaroxaban,drug,
salbutamol,salbutamol,drug,
budesonide,budesonide,drug,
prednisolone,prednisolone,drug,
dexamethasone,dexamethasone,drug,
cetirizine,cetirizine,drug,
loratadine,loratadine,drug,
chlorpheniramine,chlorpheniramine,drug,
ondansetron,ondansetron,drug,
domperidone,domperidone,drug,
loperamide,loperamide,drug,
oresol,oral rehydration salts,drug,
vitamin D,vitamin D,drug,
sắt,iron,drug,
acid folic,folic acid,drug,
levothyroxine,levothyroxine,drug,
carbimazole,carbimazole,drug,
allopurinol,allopurinol,drug,
colchicine,colchicine,drug,
gabapentin,gabapentin,drug,
pregabalin,pregabalin,drug,
diazepam,diazepam,drug,
alprazolam,alprazolam,drug,
sertraline,sertraline,drug,
fluoxetine,fluoxetine,drug,
ceftriaxone,ceftriaxone,drug,
meropenem,meropenem,drug,
adrenaline,epinephrine,drug,
naloxone,naloxone,drug,
thuốc kháng sinh,antibiotic,med_term,
thuốc giảm đau,pain reliever,med_term,
thuốc hạ sốt,fever reducer,med_term,
thuốc chống dị ứng,antihistamine,med_term,
thuốc huyết áp,blood pressure medicine,med_term,
thuốc tiểu đường,diabetes medicine,med_term,
thuốc chống đông,anticoagulant,med_term,
thuốc nhỏ mắt,eye drops,med_term,
thuốc xịt,inhaler,med_term,
dị ứng thuốc,drug allergy,med_term,
phản vệ,anaphylaxis,med_term,
khó thở,shortness of breath,symptom,
đau ngực,chest pain,symptom,
đau bụng,abdominal pain,symptom,
đau đầu,headache,symptom,
chóng mặt,dizziness,symptom,
buồn nôn,nausea,symptom,
nôn ói,vomiting,symptom,
sốt,fever,symptom,
ho,cough,symptom,
ho ra máu,coughing blood,symptom,
tiêu chảy,diarrhea,symptom,
táo bón,constipation,symptom,
phát ban,rash,symptom,
sưng phù,swelling,symptom,
ngất,fainting,symptom,
co giật,seizure,symptom,
yếu liệt,weakness or paralysis,symptom,
tê bì,numbness,symptom,
đau dữ dội,severe pain,symptom,
đau nhẹ,mild pain,symptom,
mang thai,pregnant,condition,
có bầu,pregnant,condition,
cho con bú,breastfeeding,condition,
tăng huyết áp,hypertension,condition,
hạ huyết áp,low blood pressure,condition,
đái tháo đường,diabetes,condition,
tiểu đường,diabetes,condition,
hen suyễn,asthma,condition,
bệnh tim,heart disease,condition,
suy thận,kidney failure,condition,
suy gan,liver failure,condition,
viêm phổi,pneumonia,condition,
viêm dạ dày,gastritis,condition,
đột quỵ,stroke,condition,
nhồi máu cơ tim,heart attack,condition,
huyết áp,blood pressure,vital,
mạch,pulse,vital,
nhiệt độ,temperature,vital,
đường huyết,blood glucose,vital,
SpO2,oxygen saturation,vital,
uống,oral,route,
tiêm,injection,route,
truyền tĩnh mạch,intravenous infusion,route,
nhỏ mắt,eye drops,route,
nhỏ tai,ear drops,route,
xịt mũi,nasal spray,route,
hít,inhalation,route,
bôi ngoài da,topical,route,
ngậm dưới lưỡi,sublingual,route,
đặt hậu môn,rectal,route,
viên,tablet,unit,
gói,sachet,unit,
ống,ampoule,unit,
giọt,drop,unit,
muỗng,spoon,unit,
mililit,milliliter,unit,
mi-li-lít,milliliter,unit,
mi-li-gam,milligram,unit,
microgam,microgram,unit,
ngày một lần,once daily,frequency,
ngày hai lần,twice daily,frequency,
ngày ba lần,three times daily,frequency,
mỗi ngày,every day,frequency,
mỗi sáng,every morning,frequency,
mỗi tối,every evening,frequency,
sau ăn,after food,timing,
trước ăn,before food,timing,
khi đau,when in pain,timing,
trong mười ngày,for ten days,duration,
tái khám,follow-up visit,workflow,
cấp cứu,emergency department,workflow,
xét nghiệm máu,blood test,procedure,
chụp X-quang,X-ray,procedure,
siêu âm,ultrasound,procedure,
điện tim,ECG,procedure,
